OBS.,ANSWERED,INCOME,FEMALE,AGE,JOB,NUM_DEPENDENTS,RENT,OWN_RES,NEW_CAR,CHK_ACCT,SAV_ACCT,NUM_ACCTS,MOBILE,PRODUCT
133,1,13520,0,23,0,1,1,0,0,0,2,0,1,2
1509,0,14780,0,22,2,1,0,1,0,3,0,3,0,0
1530,1,37570,0,62,2,1,0,0,1,3,0,4,0,4
1886,0,12450,0,33,2,1,0,1,0,1,0,2,0,0
2463,0,12400,0,48,1,2,0,0,1,2,1,4,0,0
2667,1,14030,0,28,2,1,1,0,1,0,0,2,0,4
2812,1,9320,0,24,2,1,0,1,0,3,0,2,0,2
3555,1,11750,0,68,0,1,0,0,1,1,0,0,0,3
3659,1,69670,0,36,3,1,1,0,0,1,1,3,0,4
4006,1,3380,0,52,2,1,0,1,0,0,2,4,0,4
4227,1,40200,0,27,2,1,0,1,0,0,0,2,0,2
4503,1,14730,0,39,2,1,0,1,0,3,0,1,0,4
4530,0,68500,0,34,3,2,0,1,1,1,1,0,0,0
4633,1,7010,0,32,2,1,0,1,0,3,0,2,0,2
4734,1,19500,0,34,2,1,0,1,0,3,0,3,0,1
4822,1,21340,0,48,2,1,0,1,1,3,0,2,0,4
4999,1,12360,0,23,2,1,1,0,0,3,0,1,0,4
5549,1,27790,0,21,2,1,1,0,0,1,0,2,1,3
5594,1,12830,0,25,2,1,1,0,1,3,4,3,0,4
5613,1,19250,0,26,2,1,0,1,0,2,0,2,0,2
5648,0,50030,0,29,2,1,0,1,1,3,4,2,0,0
6496,1,35180,0,26,2,1,1,0,1,3,0,2,0,3
6622,1,27450,0,32,2,1,0,1,0,1,3,3,0,2
6742,0,15460,0,24,1,1,1,0,0,0,0,3,0,0
7438,0,7950,0,53,2,1,0,1,0,0,0,1,0,0
7710,0,68360,0,63,2,1,0,1,0,0,0,4,0,0
7738,0,12460,0,23,1,1,0,1,1,1,0,1,0,0
7933,0,12820,0,32,1,1,0,1,0,0,1,2,0,0
8870,1,28720,0,36,2,2,0,1,0,3,1,4,0,4
9157,1,23310,0,49,2,1,0,1,0,3,4,4,0,4
9663,1,7300,0,46,1,1,1,0,0,3,4,4,0,2
9764,1,20730,0,28,2,1,0,1,0,3,1,2,0,2
10010,1,12620,0,25,2,1,0,1,0,3,0,2,0,2
10691,0,9310,0,32,1,1,0,1,1,1,1,1,0,0
10734,0,14420,0,32,1,2,0,0,1,0,0,3,0,0
11041,1,47950,0,30,3,1,0,1,0,1,0,1,0,1
11138,1,24040,0,26,2,1,0,1,0,3,0,2,0,2
11744,1,31860,0,20,2,1,1,0,1,3,3,3,0,3
12029,1,38500,0,27,2,1,0,1,0,3,0,3,1,1
12066,0,18640,0,30,2,1,0,1,0,3,1,2,0,0
12237,0,35520,0,27,2,1,0,1,0,0,0,3,0,0
12338,1,19570,0,31,2,1,0,1,0,0,0,3,0,4
12486,0,48170,0,31,2,1,0,1,1,0,0,3,0,0
12493,1,21460,0,23,2,1,1,0,0,3,0,1,0,3
12630,1,21080,0,29,2,1,1,0,0,3,0,3,0,2
12789,0,83180,0,42,3,1,0,0,0,1,0,4,0,0
13059,1,27600,0,36,2,1,0,0,0,1,4,4,1,4
13088,0,18370,0,34,1,1,0,0,0,1,0,3,0,0
13167,0,12460,0,23,1,1,0,1,1,1,0,1,0,0
13816,1,14180,0,35,1,1,1,0,1,3,1,2,0,2
14980,1,53020,0,36,3,1,0,0,1,0,0,4,0,4
15199,0,34410,0,21,2,1,1,0,0,1,1,2,0,0
15218,1,23150,0,52,1,1,0,1,0,0,0,4,0,4
15779,0,29690,0,25,2,1,1,0,0,1,0,1,0,0
15938,1,8460,0,36,2,1,0,0,0,3,4,4,0,4
16375,1,63040,0,36,2,1,0,1,0,3,4,4,0,4
16390,1,12870,0,45,1,1,0,1,1,3,4,4,0,2
16840,1,12620,0,25,2,1,0,1,0,3,0,2,0,2
17220,0,64580,0,39,3,2,0,1,1,3,0,4,0,0
17325,1,10550,0,30,2,1,0,1,1,3,0,1,0,1
17428,1,4260,0,39,1,1,0,1,0,3,0,4,0,4
17555,1,10920,0,49,2,1,0,1,0,1,0,2,0,4
17574,1,13300,0,26,2,1,0,1,1,2,0,1,0,1
17906,0,45910,0,54,3,1,0,1,0,3,3,2,0,0
18140,1,2760,0,22,1,1,1,0,1,1,0,2,0,4
19046,0,27120,0,41,2,2,0,1,0,0,0,4,0,0
19183,1,27820,0,31,3,1,0,1,1,3,2,3,0,2
19501,0,126800,0,30,3,1,0,0,1,3,4,4,0,0
19571,1,17660,0,21,2,1,1,0,0,3,0,2,0,2
19584,0,12850,0,32,2,1,1,0,1,0,4,3,0,0
19693,1,23150,0,52,1,1,0,1,0,0,0,4,0,4
20605,0,19220,0,37,1,1,0,1,0,1,0,2,0,0
20658,0,35520,0,27,2,1,0,1,0,0,0,3,0,0
20682,1,10680,0,28,2,2,0,1,0,1,0,4,0,4
21102,0,42810,0,23,2,1,0,1,0,0,2,2,0,0
21338,1,14120,0,29,3,1,0,1,0,3,0,2,0,2
21665,1,12950,0,27,2,1,0,1,0,1,0,1,0,1
21716,0,30510,0,54,2,1,0,1,0,0,0,2,0,0
21751,1,15160,0,43,1,1,0,1,0,3,3,2,0,1
22176,1,17550,0,58,1,1,0,1,0,0,0,4,0,4
22364,0,7950,0,53,2,1,0,1,0,0,0,1,0,0
23045,1,14740,0,33,3,1,0,1,0,2,0,1,0,1
23163,1,11490,0,46,2,1,0,1,0,3,3,2,0,3
23217,1,14730,0,39,2,1,0,1,0,3,0,1,0,4
24658,0,19080,0,66,3,1,0,1,0,2,0,4,0,0
25115,0,4330,0,24,2,2,1,0,0,1,3,1,0,0
25437,1,21410,0,35,2,1,0,1,0,3,1,3,0,1
25905,1,11680,0,27,1,1,0,1,1,0,0,2,0,3
26252,1,10380,0,49,2,1,0,1,1,0,0,3,0,3
26450,0,83350,0,47,2,1,0,0,0,0,4,4,1,0
26547,1,25220,0,39,2,2,0,1,0,0,0,4,0,3
26832,1,48110,0,24,1,1,1,0,0,3,4,3,1,4
27564,0,83350,0,47,2,1,0,0,0,0,4,4,1,0
27748,0,40570,1,43,2,1,0,1,0,1,0,3,0,0
27807,1,6250,0,26,1,1,0,1,0,1,0,1,0,1
28254,0,4330,0,22,2,1,1,0,0,3,0,0,0,0
28830,1,37570,0,62,2,1,0,0,1,3,0,4,0,4
28869,0,145550,0,23,0,1,0,1,1,1,4,0,0,0
29007,0,71740,0,30,3,1,0,1,0,0,4,3,0,0
29051,1,15430,1,33,2,1,0,1,0,3,3,2,0,2
29677,1,12640,0,57,1,1,1,0,0,3,4,4,0,4
29962,1,27600,0,36,2,1,0,0,0,1,4,4,1,4
30075,1,11690,0,67,2,1,0,1,0,0,4,4,0,4
30076,0,25790,0,33,1,2,0,1,1,0,0,1,0,0
30406,1,20580,1,33,2,1,0,1,0,3,0,2,0,2
30765,0,83350,0,47,2,1,0,0,0,0,4,4,1,0
31239,1,17660,0,21,2,1,1,0,0,3,0,2,0,2
31279,0,31080,1,31,1,1,0,1,0,0,0,1,0,0
31418,1,75820,0,31,3,1,0,0,0,1,1,0,0,4
31789,1,39720,0,25,2,1,1,0,0,3,0,3,0,4
31821,1,9600,0,30,2,1,0,1,0,3,3,3,0,2
32385,0,31610,0,31,2,1,1,0,0,0,0,2,0,0
33600,0,13310,0,22,2,1,0,1,0,1,0,1,0,0
33654,0,50960,0,30,3,1,0,1,0,1,0,2,0,0
33990,1,23660,1,36,3,1,0,1,1,1,2,3,0,3
34194,1,60780,0,32,2,1,0,1,1,1,0,3,0,2
34209,0,80860,0,42,3,1,0,1,1,1,1,4,0,0
35755,1,25070,0,51,1,1,0,0,1,3,2,4,0,4
35778,0,7660,0,66,1,1,0,1,0,1,2,2,0,0
35917,1,14120,0,29,3,1,0,1,0,3,0,2,0,2
35948,1,59540,0,41,1,1,0,1,0,1,0,3,0,1
36840,0,52340,0,28,3,1,0,1,1,1,0,0,0,0
37270,1,15250,0,34,2,2,0,1,1,3,3,3,0,3
37422,1,25220,0,39,2,2,0,1,0,0,0,4,0,3
37555,1,14240,0,55,3,1,0,1,0,2,4,4,0,4
37633,1,33940,0,65,0,1,0,1,0,0,0,0,0,4
38043,1,26290,0,29,2,1,0,1,0,1,0,2,0,3
38235,1,15950,0,51,2,2,0,1,0,3,0,3,0,2
38258,1,14240,0,55,3,1,0,1,0,2,4,4,0,4
38342,1,35990,0,26,1,1,1,0,0,0,0,3,0,4
38583,0,15300,0,32,2,1,0,1,1,3,0,2,0,0
38586,1,12400,0,38,2,1,0,1,0,3,4,4,0,2
38700,1,23660,1,36,3,1,0,1,1,1,2,3,0,3
38895,1,59540,0,41,1,1,0,1,0,1,0,3,0,1
39330,1,7540,0,38,2,1,0,1,0,1,4,4,0,4
39817,0,9310,0,32,1,1,0,1,1,1,1,1,0,0
39959,1,59650,0,30,3,1,0,1,0,1,0,4,1,2
40092,1,21970,0,43,2,2,0,1,0,3,4,3,1,4
40358,1,12390,0,61,2,1,0,0,0,1,4,2,0,4
40441,0,22250,0,57,2,1,0,0,1,1,0,4,0,0
40835,0,23020,1,31,2,1,1,0,0,0,0,2,0,0
41050,1,41690,0,28,2,1,0,1,0,0,0,2,0,4
41377,0,48430,0,43,2,1,1,0,1,0,0,4,0,0
41523,1,19130,0,36,2,1,0,1,0,1,3,1,0,3
41701,1,19840,0,47,2,1,0,0,0,3,0,2,0,4
41809,0,63500,0,31,2,1,0,1,0,0,4,4,0,0
41862,0,31140,0,26,2,1,1,0,0,0,0,1,0,0
42237,1,40200,0,27,2,1,0,1,0,0,0,2,0,2
42623,1,16200,0,30,2,1,0,1,0,0,0,2,0,3
43435,1,23480,0,46,2,1,0,1,0,0,0,2,0,2
43660,1,12620,1,49,1,1,0,1,0,0,4,4,0,4
44152,1,34480,0,74,1,1,0,1,0,3,0,3,0,4
44341,1,16200,0,30,2,1,0,1,0,0,0,2,0,3
44544,0,23970,0,35,2,1,0,1,0,3,2,4,0,0
44865,1,15200,0,63,2,1,0,1,0,3,4,4,0,4
45284,0,126120,0,47,2,2,0,0,0,1,1,2,0,0
45745,1,12880,0,48,2,2,0,1,0,0,1,4,0,4
46464,1,27430,0,29,2,1,0,1,0,3,0,4,0,2
46978,1,27790,0,21,2,1,1,0,0,1,0,2,1,3
47149,0,9000,0,23,2,1,0,1,1,0,4,2,0,0
47193,1,11540,0,57,1,1,0,1,0,3,1,0,0,4
47809,0,83350,0,47,2,1,0,0,0,0,4,4,1,0
48182,1,12870,0,37,2,1,0,1,1,3,3,4,0,4
48221,1,94360,0,39,1,2,0,1,0,3,4,2,1,2
48279,1,6820,0,51,2,1,0,1,1,3,1,3,0,3
48437,0,8880,0,41,1,2,0,1,1,1,0,4,0,0
48727,1,13820,0,28,2,1,0,1,0,3,0,2,0,1
49907,0,44550,1,30,3,1,0,1,0,1,0,2,0,0
50127,1,20960,0,49,1,2,0,1,0,3,0,3,0,3
51120,0,40570,1,43,2,1,0,1,0,1,0,3,0,0
51620,1,63040,0,36,2,1,0,1,0,3,4,4,0,4
51816,1,14730,0,39,2,1,0,1,0,3,0,1,0,4
52805,1,15910,0,34,3,1,0,1,0,3,1,3,0,3
52913,1,95660,0,31,2,1,0,1,0,3,0,2,0,2
53505,0,27750,0,31,2,1,0,1,1,3,0,3,0,0
54357,0,21000,0,37,2,1,0,1,0,2,0,2,0,0
54364,1,19340,0,26,2,1,0,1,0,3,0,4,0,2
54664,1,26700,0,35,3,1,0,1,0,3,0,4,1,4
54817,1,19250,0,26,2,1,0,1,0,2,0,2,0,2
55611,0,89780,1,45,3,1,0,1,1,0,0,4,0,0
55941,1,39490,0,37,1,2,0,1,1,2,0,1,0,1
56464,0,23970,0,35,2,1,0,1,0,3,2,4,0,0
56662,1,110540,0,30,3,1,0,1,0,3,4,2,1,2
57220,1,63040,0,36,2,1,0,1,0,3,4,4,0,4
57481,0,12820,0,20,2,1,1,0,0,0,0,2,0,0
57645,1,19010,0,29,3,1,1,0,0,3,1,2,0,4
57704,0,14780,0,22,2,1,0,1,0,3,0,3,0,0
58052,0,12450,0,33,2,1,0,1,0,1,0,2,0,0
58145,0,39590,0,29,2,1,0,1,1,0,0,2,0,0
58759,0,23020,1,31,2,1,1,0,0,0,0,2,0,0
58926,1,60700,0,33,2,1,0,1,0,3,0,4,0,4
59139,0,89780,1,45,3,1,0,1,1,0,0,4,0,0
59220,0,28640,0,34,1,2,0,1,0,2,0,2,0,0
59548,1,12620,0,25,2,1,0,1,0,3,0,2,0,2
59578,0,12370,0,24,2,1,0,1,0,1,0,2,0,0
60331,0,47360,0,25,1,1,0,1,0,1,0,1,0,0
60410,0,9470,0,38,2,2,0,0,1,2,0,3,0,0
60628,0,33490,0,28,3,1,0,1,0,3,0,2,0,0
61762,1,12880,0,48,2,2,0,1,0,0,1,4,0,4
61894,1,10070,0,22,2,1,0,1,1,1,3,2,0,1
61974,1,25770,1,42,2,1,0,1,0,0,0,2,0,1
62405,0,23590,1,33,2,1,0,1,0,0,1,0,0,0
62847,1,32290,0,38,3,1,0,1,0,3,4,0,1,4
62852,1,12830,0,25,2,1,1,0,1,3,4,3,0,4
63076,0,21490,1,29,2,1,0,0,0,0,0,2,0,0
63557,1,12010,0,26,2,1,0,1,1,1,0,1,0,1
63564,1,15670,0,22,2,1,0,1,0,1,0,2,0,1
63813,0,71740,0,30,3,1,0,1,0,0,4,3,0,0
63946,0,76850,0,37,2,1,1,0,0,0,0,3,0,0
64585,1,25770,1,42,2,1,0,1,0,0,0,2,0,1
64700,0,6740,0,20,2,1,0,1,0,0,1,3,0,0
64850,0,33450,0,39,3,1,1,0,0,0,0,4,0,0
64888,1,10680,0,28,2,2,0,1,0,1,0,4,0,4
65134,0,25700,0,21,2,1,1,0,1,3,0,2,0,0
65223,1,12250,0,37,2,1,0,1,0,2,0,2,0,2
65700,0,129760,0,38,3,1,0,0,0,1,0,0,1,0
65920,0,19800,0,19,2,1,1,0,0,3,0,1,0,0
66133,0,12450,0,33,2,1,0,1,0,1,0,2,0,0
66360,0,12090,0,47,3,1,0,1,1,1,0,0,0,0
66669,1,46570,0,30,2,1,0,1,0,3,0,2,1,2
67114,1,15740,0,50,2,1,0,1,0,3,0,2,0,2
67214,0,20390,0,22,2,1,0,1,0,1,0,1,0,0
67235,1,70570,0,36,3,2,1,0,0,1,4,3,1,4
67440,1,59540,0,41,1,1,0,1,0,1,0,3,0,1
67733,0,18420,0,34,2,1,0,1,1,0,0,1,0,0
68102,1,75820,0,31,3,1,0,0,0,1,1,0,0,4
69068,0,68870,0,29,2,1,0,1,0,0,0,2,0,0
69265,0,9310,0,32,1,1,0,1,1,1,1,1,0,0
69473,1,39720,0,25,2,1,1,0,0,3,0,3,0,4
69530,0,55950,0,24,2,1,0,1,0,1,1,2,0,0
69569,0,74850,0,53,3,1,0,1,0,3,4,0,1,0
69610,1,12950,0,27,2,1,0,1,0,1,0,1,0,1
69731,0,21450,0,24,2,1,0,1,0,0,0,3,0,0
70146,0,13310,0,22,2,1,0,1,0,1,0,1,0,0
71123,1,14780,0,44,2,2,0,1,0,0,0,4,0,4
71283,0,11900,0,55,0,2,0,0,0,0,0,0,0,0
71407,0,83350,0,47,2,1,0,0,0,0,4,4,1,0
72304,1,20580,1,33,2,1,0,1,0,3,0,2,0,2
72333,1,47880,0,26,2,2,0,1,0,0,0,3,1,3
